C8  C10   4.0   4.1   3.9   3.8   0.1  -0.1  -0.1  -0.3  -0.0  -0.3
C8  HO5   4.9   4.8   4.9   5.0  -0.1  -0.0   0.1   0.1   0.1   0.2
C8  H03   3.6   3.3   3.5   3.6  -0.2  -0.1   0.0   0.1   0.1   0.3
C8  H04   3.0   2.8   2.8   2.8  -0.2  -0.2  -0.1  -0.1   0.1   0.0
C8  H05   3.4   3.3   3.5   4.1  -0.1   0.0   0.7   0.2   0.7   0.8
C8  H06   2.2   2.1   2.1   2.1  -0.0  -0.0  -0.0   0.0  -0.0   0.0
C8  H07   3.9   4.3   4.3   4.3   0.4   0.4   0.4  -0.0   0.0  -0.0
C9   C1   2.5   3.3   2.7   1.6   0.8   0.2  -0.9  -0.6  -1.1  -1.7
C9   O1   3.7   4.0   3.4   2.9   0.3  -0.3  -0.8  -0.6  -0.5  -1.1
C9   C2   3.1   3.9   3.4   2.6   0.8   0.3  -0.5  -0.5  -0.8  -1.3
C9   O2   3.4   4.1   3.6   3.4   0.7   0.2  -0.1  -0.6  -0.2  -0.8
C9   C3   3.7   4.3   4.0   3.5   0.6   0.3  -0.2  -0.3  -0.6  -0.8
C9   C4   3.9   4.1   4.1   3.8   0.2   0.1  -0.2  -0.1  -0.3  -0.4
C9   C5   3.4   3.3   3.5   3.4  -0.1   0.1   0.1   0.2  -0.0   0.1
C9   O5   5.4   5.5   5.5   5.2   0.2   0.1  -0.2  -0.0  -0.3  -0.3
C9   C6   2.9   3.1   3.0   2.5   0.2   0.1  -0.4  -0.1  -0.4  -0.5
C9  C10   3.0   3.7   3.0   2.5   0.6  -0.0  -0.6  -0.6  -0.5  -1.2
C9  HO5   5.9   6.0   6.0   5.7   0.1   0.1  -0.2  -0.0  -0.3  -0.3
C9  H03   3.3   3.2   3.2   3.0  -0.0  -0.0  -0.3   0.0  -0.3  -0.3
C9  H04   4.1   4.1   3.9   3.7  -0.0  -0.2  -0.4  -0.1  -0.2  -0.4
C9  H05   4.1   4.1   4.2   4.3  -0.0   0.1   0.2   0.1   0.2   0.2
C9  H06   1.1   1.1   1.1   1.1   0.0   0.0   0.0  -0.0   0.0   0.0
C9  H07   4.5   5.2   4.9   4.4   0.7   0.4  -0.1  -0.3  -0.5  -0.8
C11  C1   3.9   4.0   3.8   3.4   0.2  -0.1  -0.4  -0.3  -0.4  -0.6
C11  O1   5.4   5.1   4.8   4.9  -0.2  -0.5  -0.5  -0.3   0.0  -0.3
C11  C2   3.4   3.8   3.5   3.2   0.3   0.1  -0.2  -0.3  -0.3  -0.5
C11  O2   5.7   5.9   5.6   5.8   0.2  -0.0   0.1  -0.2   0.1  -0.1
C11  C3   3.2   3.5   3.4   3.4   0.3   0.2   0.2  -0.1  -0.0  -0.1
C11  C4   3.4   3.3   3.4   3.6  -0.1  -0.0   0.2   0.1   0.2   0.3
C11  C5   3.7   3.4   3.7   4.2  -0.4  -0.0   0.4   0.3   0.5   0.8
C11  O5   4.8   4.7   4.7   4.8  -0.2  -0.1   0.0   0.1   0.1   0.2
C11  C6   4.2   4.0   4.1   4.1  -0.2  -0.1  -0.1   0.1   0.0   0.1
C11 C10   5.0   5.0   4.7   4.7   0.0  -0.2  -0.2  -0.3  -0.0  -0.3
C11 HO5   5.0   4.8   4.8   4.8  -0.2  -0.2  -0.1   0.0   0.1   0.1
C11 H03   4.9   4.7   4.8   4.9  -0.3  -0.1  -0.0   0.1   0.1   0.2
C11 H04   3.0   2.7   2.7   2.9  -0.3  -0.3  -0.1   0.0   0.2   0.2
C11 H05   4.4   4.3   4.4   5.0  -0.2  -0.0   0.6   0.2   0.6   0.8
C11 H06   3.5   3.5   3.5   3.5  -0.1  -0.0  -0.1   0.0  -0.0  -0.0
C11 H07   3.5   4.0   3.9   3.9   0.4   0.4   0.4  -0.0  -0.0  -0.0
H01  C1   3.0   3.8   3.1   2.2   0.8   0.2  -0.8  -0.7  -0.9  -1.6
H01  O1   3.5   4.0   3.1   2.6   0.5  -0.4  -1.0  -0.9  -0.5  -1.4
H01  C2   3.3   4.3   3.6   2.8   1.0   0.3  -0.5  -0.7  -0.8  -1.5
H01  O2   3.7   4.5   3.8   3.7   0.8   0.1  -0.0  -0.7  -0.1  -0.8
H01  C3   4.1   4.8   4.4   3.9   0.8   0.3  -0.2  -0.4  -0.5  -1.0
H01  C4   4.6   4.9   4.7   4.5   0.3   0.1  -0.1  -0.2  -0.3  -0.4
H01  C5   4.3   4.2   4.3   4.4  -0.0   0.1   0.1   0.1   0.0   0.1
H01  O5   6.0   6.3   6.2   5.9   0.3   0.2  -0.1  -0.1  -0.3  -0.4
H01  C6   3.7   3.9   3.8   3.5   0.2   0.0  -0.3  -0.2  -0.3  -0.5
H01 C10   3.2   4.0   3.1   2.6   0.7  -0.1  -0.6  -0.8  -0.5  -1.3
H01 HO5   6.6   6.8   6.6   6.3   0.2   0.1  -0.3  -0.2  -0.3  -0.5
H01 H03   4.2   4.1   4.1   3.9  -0.0  -0.1  -0.2  -0.0  -0.2  -0.2
H01 H04   4.8   4.8   4.6   4.4  -0.0  -0.2  -0.4  -0.2  -0.2  -0.4
H01 H05   5.1   5.1   5.2   5.3   0.0   0.0   0.2   0.0   0.2   0.2
H01 H06   1.9   1.9   1.9   1.8   0.0   0.0  -0.1  -0.0  -0.1  -0.1
H01 H07   4.7   5.6   5.2   4.6   0.9   0.5  -0.1  -0.4  -0.5  -0.9
H02  C1   2.2   2.2   2.2   2.2   0.0   0.0   0.1  -0.0   0.0   0.0
H02  O1   2.4   2.5   2.5   2.5   0.1   0.0   0.1  -0.0   0.0   0.0
H02  C2   1.1   1.1   1.1   1.1  -0.0  -0.0   0.0  -0.0   0.0   0.0
H02  O2   4.0   3.9   3.9   3.8  -0.0  -0.0  -0.2  -0.0  -0.1  -0.1
H02  C3   2.1   2.1   2.1   2.1  -0.0  -0.0  -0.0   0.0  -0.0  -0.0
H02  C4   3.5   3.5   3.5   3.5  -0.0  -0.0  -0.0  -0.0   0.0  -0.0
H02  C5   3.9   3.9   3.9   3.9   0.0   0.0  -0.0  -0.0  -0.0  -0.0
H02  O5   4.4   4.5   4.5   4.6   0.1   0.1   0.2   0.1   0.0   0.1
H02  C6   3.4   3.4   3.4   3.4  -0.0   0.0   0.0   0.0   0.0   0.1
H02 C10   2.7   2.7   2.7   2.7  -0.0  -0.0  -0.1  -0.0  -0.0  -0.1
H02 HO5   5.1   5.0   5.0   4.9  -0.1  -0.1  -0.2  -0.0  -0.0  -0.1
H02 H03   4.3   4.3   4.3   4.3   0.0   0.0   0.0   0.0   0.0   0.0
H02 H04   4.1   4.1   4.0   3.9  -0.1  -0.2  -0.2  -0.1  -0.0  -0.2
H02 H05   5.0   4.9   5.0   5.0  -0.1  -0.0  -0.0   0.1  -0.0   0.1
H02 H06   4.1   4.9   4.4   4.0   0.9   0.4  -0.1  -0.5  -0.4  -0.9
H02 H07   2.5   2.5   2.5   2.5  -0.0  -0.0  -0.0   0.0  -0.0   0.0
